chrom	start	end	pas	score	strand	polyAsite_exon_idx	nr_polyAsites_on_exon	exon	gene	M323K_WT_1	M323K_HOM_1	M323K_WT_2	M323K_HOM_2	M323K_WT_3	M323K_HOM_3	M323K_WT_4	M323K_HOM_4	M323K_WT_1	M323K_HOM_5
chr16	20544019	20544058	chr16:+:20544047:TE	9	+	1	2	ENSMUST00000007216:12:12:20543310:20544909	ENSMUST00000007216	369.277079	319.411685	345.626196	326.777115	402.211034	325.962016	451.633483	369.139853	369.277079	314.791694
chr16	20544628	20544662	chr16:+:20544651:TE	4	+	2	2	ENSMUST00000007216:12:12:20543310:20544909	ENSMUST00000007216	4.629049	3.038349	3.529347	3.155904	4.868598	2.967916	3.232706	3.702085	4.629049	4.286525
chrX	133931787	133931831	chrX:+:133931813:TE	7	+	1	2	ENSMUST00000113304:11:11:133931285:133932446	ENSMUST00000113304	4.902835	3.948716	5.271976	6.830969	5.138471	6.756784	4.953258	5.906863	4.902835	3.447952
chrX	133932295	133932296	chrX:+:133932296:TE	1	+	2	2	ENSMUST00000113304:11:11:133931285:133932446	ENSMUST00000113304	1.391936	0.969161	0.995188	0.94354	0.922792	0.872376	1.077569	0.568089	1.391936	1.731599
chr17	75390823	75390843	chr17:+:75390843:TE	1	+	1	2	ENSMUST00000001927:34:34:75390371:75391767	ENSMUST00000001927	15.352705	18.84649	11.226306	16.374077	14.033401	13.015854	10.808727	8.732527	15.352705	13.092634
chr17	75391754	75391779	chr17:+:75391769:TE	8	+	2	2	ENSMUST00000001927:34:34:75390371:75391767	ENSMUST00000001927	13.148615	13.80723	7.778841	12.649465	11.569721	12.88362	9.870937	14.166334	13.148615	14.785027
chr2	25361471	25361498	chr2:-:25361491:TE	8	-	1	2	ENSMUST00000102925:9:9:25359888:25361739	ENSMUST00000102925	28.427698	25.054054	25.767805	23.164116	33.710197	28.700261	35.839328	22.058342	28.427698	22.918099
chr2	25360305	25360336	chr2:-:25360315:TE	2	-	2	2	ENSMUST00000102925:9:9:25359888:25361739	ENSMUST00000102925	2.445665	2.224709	1.576764	1.719052	1.673649	1.893516	2.165303	2.016823	2.445665	3.193113
chr11	50119159	50119160	chr11:+:50119160:IG	1	+	1	2	ENSMUST00000238748:8:8:50119044:50125719	ENSMUST00000238748	54.241777	58.016919	51.283664	59.755364	65.024182	71.656069	67.139652	78.869395	54.241777	63.555142
chr11	50125687	50125735	chr11:+:50125714:IG	8	+	2	2	ENSMUST00000238748:8:8:50119044:50125719	ENSMUST00000238748	23.018705	19.857376	23.162261	20.240867	22.366821	20.553185	26.522425	22.746807	23.018705	20.833645
